Original modifier name (1.0),New modifier name (1.1),Invert
hip/hip-scale-depth-decr|incr,hip/hip-scale-depth-decr|incr,
hip/hip-scale-horiz-decr|incr,hip/hip-scale-horiz-decr|incr,
hip/hip-scale-vert-decr|incr,hip/hip-scale-vert-decr|incr,
hip/hip-trans-down|up,hip/hip-trans-down|up,
hip/hip-trans-forward|backward,hip/hip-trans-backward|forward,TRUE
hip/hip-trans-in|out,hip/hip-trans-in|out,
,hip/hip-waist-down|up,
,,
pelvis/bulge-decr|incr,pelvis/bulge-decr|incr,
pelvis/pelvis-tone-decr|incr,pelvis/pelvis-tone-decr|incr,
,,
buttocks/buttocks-volume-decr|incr,buttocks/buttocks-volume-decr|incr,
,,
stomach/stomach-pregnant-decr|incr,stomach/stomach-pregnant-decr|incr,
stomach/stomach-tone-decr|incr,stomach/stomach-tone-decr|incr,
,stomach/stomach-navel-in|out,
,stomach/stomach-navel-down|up,
,,
torso/torso-scale-depth-decr|incr,torso/torso-scale-depth-decr|incr,
torso/torso-scale-horiz-decr|incr,torso/torso-scale-horiz-decr|incr,
torso/torso-scale-vert-decr|incr,torso/torso-scale-vert-decr|incr,
torso/torso-trans-depth-forward|backward,torso/torso-trans-backward|forward,TRUE
torso/torso-trans-horiz-in|out,torso/torso-trans-in|out,
torso/torso-trans-vert-down|up,torso/torso-trans-down|up,
torso/torso-vshape-less|more,torso/torso-vshape-decr|incr,
,torso/torso-muscle-dorsi-decr|incr,
,torso/torso-muscle-pectoral-decr|incr,
,,
measure/measure-neckcirc-decrease|increase,measure/measure-neck-circ-decr|incr,
measure/measure-neckheight-decrease|increase,measure/measure-neck-height-decr|incr,
measure/measure-upperarm-decrease|increase,measure/measure-upperarm-circ-decr|incr,
measure/measure-upperarmlenght-decrease|increase,measure/measure-upperarm-length-decr|incr,
measure/measure-lowerarmlenght-decrease|increase,measure/measure-lowerarm-length-decr|incr,
measure/measure-wrist-decrease|increase,measure/measure-wrist-circ-decr|incr,
measure/measure-frontchest-decrease|increase,measure/measure-frontchest-dist-decr|incr,
measure/measure-bust-decrease|increase,measure/measure-bust-circ-decr|incr,
measure/measure-underbust-decrease|increase,measure/measure-underbust-circ-decr|incr,
measure/measure-waist-decrease|increase,measure/measure-waist-circ-decr|incr,
measure/measure-napetowaist-decrease|increase,measure/measure-napetowaist-dist-decr|incr,
measure/measure-waisttohip-decrease|increase,measure/measure-waisttohip-dist-decr|incr,
measure/measure-shoulder-decrease|increase,measure/measure-shoulder-dist-decr|incr,
measure/measure-hips-decrease|increase,measure/measure-hips-circ-decr|incr,
measure/measure-upperlegheight-decrease|increase,measure/measure-upperleg-height-decr|incr,
measure/measure-thighcirc-decrease|increase,measure/measure-thigh-circ-decr|incr,
measure/measure-kneecirc-decrease|increase,measure/measure-knee-circ-decr|incr,
measure/measure-lowerlegheight-decrease|increase,measure/measure-lowerleg-height-decr|incr,
measure/measure-calf-decrease|increase,measure/measure-calf-circ-decr|incr,
measure/measure-ankle-decrease|increase,measure/measure-ankle-circ-decr|incr,
